org,user,team
11,2,IoT
11,2,pandora
11,2,Students
11,2,thesis-templates
11,3,IoT
11,3,pandora
11,3,Students
11,3,thesis-templates
12,5,db-team
12,5,erasmus
12,6,db-team
12,6,erasmus
13,3,analytics
13,3,frontend
13,4,analytics
13,8,frontend
14,2,seo
14,3,Google AI Research
14,4,Google Translate
14,4,seo
15,2,sport
15,4,seo
15,5,Politics
15,5,seo
16,1,db-team
16,1,Justice League
16,2,Justice League
16,3,Justice League
16,3,recommendations
16,4,recommendations
16,6,transactions
16,7,Justice League
16,7,transactions
16,9,Justice League
16,10,db-team
16,10,Justice League
17,2,db-team
17,5,db-team
17,6,db-team
17,7,db-team
17,9,db-team
17,10,db-team
